release_year,genres,Hours_played
1983,Action,57.887
1983,Adventure,57.887
1983,Casual,57.887
1984,Action,6.3999999999999995
1984,Adventure,6.3999999999999995
1984,Casual,6.3999999999999995
1987,Adventure,3.917
1987,Simulation,3.917
1987,Adventure,124.62
1988,Action,266.683
1988,Adventure,266.683
1988,Adventure,232.706
1988,Indie,232.706
1988,RPG,232.706
1988,Strategy,232.706
1988,Simulation,0.017
1989,Action,10.116
1989,Adventure,10.116
1989,Adventure,84.73400000000001
1989,Simulation,84.73400000000001
1989,Adventure,60.338
1990,Action,1.067
1990,Adventure,1.067
1990,Action,0.084
1990,Simulation,0.084
1990,Action,304.437
1990,Adventure,17.385
1990,Simulation,17.385
1990,Adventure,73.084
1990,Simulation,14.634
1990,Strategy,1.0
1991,Action,22.583
1991,Adventure,22.583
1991,Casual,22.583
1991,Action,3.352
1991,Adventure,3.352
1991,Action,15.768
1991,Adventure,2.768
1991,Simulation,2.401
1992,Action,30.082
1992,Adventure,30.082
1992,Action,2.0
1992,Adventure,41.531
1992,Casual,41.531
1992,Adventure,36.065
1992,RPG,36.065
1992,Adventure,288.904
1992,Simulation,0.183
1993,Action,330.90500000000003
1993,Adventure,330.90500000000003
1993,Action,1.083
1993,Simulation,1.083
1993,Action,78.413
1993,Adventure,367.317
1993,Casual,367.317
1993,Adventure,81.313
1993,Strategy,3047.7219999999998
1994,Action,17.716
1994,Adventure,17.716
1994,RPG,17.716
1994,Action,7.1
1994,Adventure,7.1
1994,Action,17.15
1994,RPG,17.15
1994,Strategy,17.15
1994,Action,4.819
1994,Racing,4.819
1994,Action,64.402
1994,Simulation,64.402
1994,Action,1891.795
1994,Adventure,176.202
1994,Casual,176.202
1994,Adventure,22.666
1994,Simulation,22.666
1994,Adventure,41.152
1994,Casual,590.0510000000002
1994,Simulation,1.568
1994,Strategy,1.568
1994,Simulation,67.216
1994,Strategy,0.767
1995,Action,1.9000000000000001
1995,Adventure,1.9000000000000001
1995,Action,516.737
1995,Racing,516.737
1995,Sports,516.737
1995,Action,3083.837
1995,Adventure,165.2
1995,Casual,52.804
1995,Indie,52.804
1995,Casual,6.417
1995,Simulation,16.333
1995,Strategy,16.333
1995,Strategy,904.129
1996,Action,488.097
1996,Adventure,488.097
1996,Action,2.117
1996,Free to Play,2.117
1996,Action,304.654
1996,RPG,304.654
1996,Action,31.967
1996,Simulation,31.967
1996,Action,303.921
1996,Adventure,500.259
1996,Casual,500.259
1996,Adventure,748.299
1996,Casual,9.503
1996,Indie,9.503
1996,RPG,117.91499999999999
1996,Strategy,117.91499999999999
1996,Racing,20.034
1996,Strategy,23.217
1997,Action,13.982999999999999
1997,Adventure,13.982999999999999
1997,Strategy,13.982999999999999
1997,Action,166.051
1997,Adventure,166.051
1997,Action,155.317
1997,Indie,155.317
